,rate
11712,4.0
44598,3.5
29649,4.2
5260,3.8
32568,4.2
50348,3.0
8252,3.8
4914,3.0
27032,4.4
43195,4.4
22322,4.0
31131,3.6
12981,3.7
28426,4.4
8364,4.0
36984,4.0
38022,3.2
21511,2.8
12728,3.6
35221,2.6
400,3.9
51190,3.6
25715,3.4
48164,4.4
51369,3.5
37885,3.8
14156,2.9
47730,3.0
6823,3.8
49008,3.0
2820,2.9
43088,3.9
27296,4.0
12861,3.8
5579,3.7
41282,3.7
44914,3.2
47968,4.3
22600,3.2
13239,4.3
6792,3.1
48964,3.6
46362,3.9
47059,2.9
50481,2.8
6546,3.6
50521,3.6
35070,4.0
33541,3.5
15630,3.3
22008,3.8
7119,4.3
50333,3.3
35290,3.7
50305,3.9
43852,4.4
24837,3.9
34165,3.5
43973,4.0
37631,4.4
27850,3.5
8030,3.2
13208,3.5
19444,4.1
297,4.2
21913,3.6
6683,4.3
6394,3.5
30490,3.5
44176,3.7
26881,3.8
27332,4.2
14878,3.6
12512,4.3
617,3.5
27224,3.2
26751,4.0
31123,4.1
4258,3.5
34875,4.4
33900,3.5
17327,3.3
28197,4.0
39880,3.8
16892,2.6
9408,3.6
42761,3.6
7999,3.8
5446,3.6
45019,3.0
20213,3.4
43526,3.6
5229,3.5
29193,3.7
48575,4.2
46250,4.8
1256,3.0
24854,4.1
31579,3.4
3777,4.0
18353,3.6
33713,4.2
16988,3.9
15101,4.0
41237,3.7
40145,3.5
40018,3.8
47157,3.3
22930,3.1
10262,4.0
19215,3.4
12977,3.4
11106,3.9
1121,3.8
18579,3.7
3926,3.1
23184,3.8
726,3.2
16535,3.6
35206,4.3
24850,3.7
2599,4.4
47727,3.8
4991,4.3
12550,3.8
29261,4.1
2337,3.7
21110,3.7
3890,3.9
27542,4.4
23260,4.1
989,2.9
38594,4.3
34454,3.4
27755,4.1
6908,3.1
12822,3.7
30653,4.0
42019,3.7
32906,3.9
2445,2.9
1160,4.2
26981,3.7
6225,3.6
40595,3.9
16574,3.3
23590,4.3
36657,3.8
45105,3.7
46208,3.8
51178,3.1
44495,3.2
37823,4.3
20875,3.9
35218,3.6
27497,3.1
3329,3.6
4674,3.1
46410,3.5
46530,4.1
43098,3.9
20393,4.0
31571,3.3
971,3.8
34753,3.8
17142,4.4
50072,4.1
35826,3.8
15933,3.5
46547,3.3
21729,4.3
21,3.7
32507,4.0
17801,3.6
12605,4.4
34984,4.1
36613,4.0
16868,3.9
45114,3.4
31445,3.7
41978,3.2
43675,3.6
31237,4.6
2905,3.6
37911,2.5
31559,3.5
3539,3.9
46114,4.1
34575,3.4
50613,3.6
33339,4.1
11935,3.7
42127,3.5
17775,4.0
11952,4.0
46646,3.4
4100,3.6
12636,4.1
14022,3.4
1700,3.8
49070,3.8
24087,3.8
49718,3.7
41174,3.3
51080,4.4
19692,3.6
1204,4.2
14560,4.1
48315,3.3
26782,4.1
50770,3.3
42549,4.0
42240,4.3
26196,3.9
5737,3.7
33763,3.6
18904,2.7
41143,3.6
12317,4.4
21881,3.9
42425,4.0
14716,3.7
24300,3.9
40734,4.0
22770,3.4
23457,4.4
44761,3.9
38487,3.9
37971,3.3
4476,3.7
51522,3.4
51155,3.7
1213,4.2
40480,3.2
38193,4.3
23261,2.3
44291,3.4
35217,2.8
46150,4.0
32563,3.1
38604,3.8
34771,3.7
44213,3.9
43929,4.2
44830,3.0
38777,3.8
2053,3.9
11609,4.1
28444,4.1
17969,3.1
18952,3.4
32527,3.6
32866,3.8
51345,4.2
6601,4.7
25297,3.6
21331,4.1
19709,4.2
11735,3.5
30245,3.4
16470,3.8
446,3.3
19982,3.2
48649,3.8
40238,3.1
23991,3.9
16504,3.2
20153,3.6
8874,3.9
39070,3.4
29838,4.0
6647,3.8
35514,4.4
35416,3.7
10913,4.1
47867,3.9
11209,3.5
27097,4.1
50276,3.2
4147,3.5
28359,3.7
3419,3.6
21480,2.7
51526,3.2
30690,3.3
11716,3.9
42434,4.4
24897,3.0
44584,3.3
37532,3.6
43086,3.4
18122,3.4
5954,4.2
28329,4.0
39836,3.4
16230,3.7
11649,3.4
16405,2.8
45573,4.2
2061,4.1
1302,3.3
16497,3.9
1179,3.9
37774,3.7
24874,3.0
11478,3.9
1077,3.1
40158,3.3
1941,3.9
47181,4.1
44133,4.0
22485,3.6
27044,4.4
32357,4.1
27154,3.8
23927,3.7
11752,3.8
13203,3.9
38494,3.3
10155,3.3
38216,3.5
35377,2.8
29574,4.3
38308,3.9
12227,3.9
32378,3.7
20427,3.4
24279,4.1
32161,4.3
21505,3.6
19805,4.2
16641,3.8
49755,3.0
41657,3.6
38770,3.9
